AOI,TransectID,base_abs_error,top_abs_error,mean_abs_error
aoi8,127,3.996391670125007,176.8404845053047,90.41843808771485
aoi8,128,0.9990980627070344,178.83867724430468,89.91888765350586
aoi8,123,4.9954904845390615,155.85940411507812,80.42744729980859
aoi8,124,4.995497423488288,154.86030445618752,79.92790093983791
aoi8,126,2.997297565152337,156.35895518391015,79.67812637453125
aoi8,121,3.9963936864843816,149.86481424063282,76.93060396355861
aoi8,122,2.997293268093756,150.86391210974216,76.93060268891796
aoi8,125,9.467382824368542e-07,152.86210507085156,76.43105300879492
aoi8,74,25.976573792359375,124.88734171752344,75.43195775494141
aoi8,120,1.9981973517929672,146.86751886652343,74.43285810915819
aoi8,119,1.8330976558900147e-06,143.87022157352345,71.93511170331055
aoi8,73,27.97477163435937,113.89726096630471,70.93601630033204
aoi8,118,1.9981943636390584,137.87562607863282,69.93691022113595
aoi8,129,0.999100136738278,137.87562551112893,69.43736282393361
aoi8,117,3.9963945304750017,134.8783288216328,69.43736167605391
aoi8,76,8.991882802351569,121.89004340174216,65.44096310204687
aoi8,75,10.99007877146093,118.8927595096406,64.94141914055076
aoi8,116,2.997294728047663,126.88553834640624,64.94141653722696
aoi8,77,9.990983107242188,119.89184776718751,64.94141543721486
aoi8,115,0.9991019841429676,122.88914133896094,61.944121661551954
